variable,variable_description,drought_class_label,source_columns,drought_months_class,n_total,n_yes,n_no,frac_yes_unweighted,frac_yes_unweighted_ci_lower,frac_yes_unweighted_ci_upper,weighted_total,weighted_yes,frac_yes_weighted,frac_yes_weighted_ci_lower,frac_yes_weighted_ci_upper,used_weighting
PREV_PARTNER_EMOTIONAL_12M,Emotional violence by previous partner (0-11 months ago),0 drought months,d130c,0,5644,46,5598,0.00815024805102764,0.006024096385542169,0.01063518781006378,4228.494036,20.784528,0.004915349962196329,0.0029453238468165064,0.007125233780966866,True
PREV_PARTNER_EMOTIONAL_12M,Emotional violence by previous partner (0-11 months ago),>=1 drought month,d130c,1,2942,14,2928,0.004758667573079538,0.002379333786539769,0.007146498980285512,3643.06755,16.371488,0.004493874399885887,0.00129037877876301,0.008794730995377262,True
