woman_id,caseid,v001,LATNUM,LONGNUM,nearest_drought_lon,nearest_drought_lat,drought_months_class,drought_class_label,drought_match_distance_deg,drought_match_distance_km,analysis_weight,ipv12m_any_binary,ipv12m_emotional_binary,ipv12m_physical_less_sev_binary,ipv12m_physical_severe_binary,ipv12m_sexual_binary,sexual_violence_any_binary,sexual_violence_recent_binary,nonpartner_physical_12m_binary,prev_partner_physical_12m_binary,prev_partner_sexual_12m_binary,prev_partner_emotional_12m_binary
24,       2 250  1,2,-6.419753497,20.79229693,20.75,-6.25,0.0,0 drought months,0.17494364815892557,19.474726913051594,2.148456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,       2 263  2,2,-6.419753497,20.79229693,20.75,-6.25,0.0,0 drought months,0.17494364815892557,19.474726913051594,2.148456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
26,       2 283  2,2,-6.419753497,20.79229693,20.75,-6.25,0.0,0 drought months,0.17494364815892557,19.474726913051594,2.148456,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
27,       2 286  2,2,-6.419753497,20.79229693,20.75,-6.25,0.0,0 drought months,0.17494364815892557,19.474726913051594,2.148456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,       2 335  2,2,-6.419753497,20.79229693,20.75,-6.25,0.0,0 drought months,0.17494364815892557,19.474726913051594,2.148456,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0
29,       3   3  1,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0
30,       3  24  3,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
31,       3  45  2,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
32,       3 102  3,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,3.941529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
33,       3 108  2,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
34,       3 134  3,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,       3 139  2,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
36,       3 217  1,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,1.380649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
37,       3 271  4,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,5.255372,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
38,       3 275  1,3,-4.981956007,19.58104536,19.75,-4.75,0.0,0 drought months,0.286965606930366,31.94501136348834,2.822329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
