variable,variable_desc,wealth,wealth_label,education,education_label,prevalence,prevalence_pct,n_women
D104,Emotional IPV,1,Poorest,0,No education,0.30943396226415093,30.943396226415093,795
D104,Emotional IPV,1,Poorest,1,Primary,0.3646694214876033,36.46694214876033,968
D104,Emotional IPV,1,Poorest,2,Secondary,0.2972560975609756,29.72560975609756,656
D104,Emotional IPV,1,Poorest,3,Higher,1.0,100.0,1
D104,Emotional IPV,2,Poorer,0,No education,0.3787313432835821,37.87313432835821,536
D104,Emotional IPV,2,Poorer,1,Primary,0.336104513064133,33.6104513064133,842
D104,Emotional IPV,2,Poorer,2,Secondary,0.32066508313539194,32.066508313539195,842
D104,Emotional IPV,2,Poorer,3,Higher,0.3333333333333333,33.33333333333333,3
D104,Emotional IPV,3,Middle,0,No education,0.3551912568306011,35.51912568306011,366
D104,Emotional IPV,3,Middle,1,Primary,0.3126934984520124,31.269349845201237,646
D104,Emotional IPV,3,Middle,2,Secondary,0.28041714947856317,28.041714947856317,863
D104,Emotional IPV,3,Middle,3,Higher,0.0,0.0,15
D104,Emotional IPV,4,Richer,0,No education,0.2982456140350877,29.82456140350877,114
D104,Emotional IPV,4,Richer,1,Primary,0.37906137184115524,37.90613718411552,277
D104,Emotional IPV,4,Richer,2,Secondary,0.28861330326944756,28.861330326944756,887
D104,Emotional IPV,4,Richer,3,Higher,0.20833333333333334,20.833333333333336,48
D104,Emotional IPV,5,Richest,0,No education,0.23076923076923078,23.076923076923077,13
D104,Emotional IPV,5,Richest,1,Primary,0.3,30.0,40
D104,Emotional IPV,5,Richest,2,Secondary,0.1978984238178634,19.78984238178634,571
D104,Emotional IPV,5,Richest,3,Higher,0.0782122905027933,7.82122905027933,179
