variable,variable_description,source_columns,drought_months_class,n_total,n_yes,n_no,frac_yes_unweighted,frac_yes_unweighted_ci_lower,frac_yes_unweighted_ci_upper,weighted_total,weighted_yes,frac_yes_weighted,frac_yes_weighted_ci_lower,frac_yes_weighted_ci_upper,used_weighting
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),d105d;d105e;d105f,0,6795,437,6358,0.06431199411331862,0.058572479764532746,0.0700551876379691,6164.122139,310.722982,0.0504083103795228,0.04328902612416845,0.05784933678498724,True
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),d105d;d105e;d105f,1,580,36,544,0.06206896551724138,0.04310344827586207,0.08103448275862069,576.00446,28.119153999999998,0.04881759769707338,0.02508726977407881,0.07823296071240468,True
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),d105d;d105e;d105f,2,889,34,855,0.03824521934758155,0.025871766029246346,0.05061867266591676,907.265692,23.540528000000002,0.025946674946020116,0.01345759653792764,0.04223701905735164,True
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),d105d;d105e;d105f,3,360,29,331,0.08055555555555556,0.05277777777777778,0.10833333333333334,254.65110599999997,16.390912,0.06436615280202239,0.03361723788282808,0.10201390627478489,True
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),d105d;d105e;d105f,4,38,1,37,0.02631578947368421,0.0,0.07894736842105263,25.616358,0.063436,0.002476386377798124,0.0,0.008835869409989492,True
