variable,variable_desc,wealth,wealth_label,education,education_label,prevalence,prevalence_pct,n_women
D108,Sexual IPV,1,Poorest,0,No education,0.13229083495998303,13.229083495998303,795.0
D108,Sexual IPV,1,Poorest,1,Primary,0.1697983134318384,16.97983134318384,968.0
D108,Sexual IPV,1,Poorest,2,Secondary,0.16290398900272976,16.290398900272976,656.0
D108,Sexual IPV,1,Poorest,3,Higher,0.0,0.0,1.0
D108,Sexual IPV,2,Poorer,0,No education,0.15032469294333783,15.032469294333783,536.0
D108,Sexual IPV,2,Poorer,1,Primary,0.1949926252560717,19.49926252560717,842.0
D108,Sexual IPV,2,Poorer,2,Secondary,0.16724566132946794,16.724566132946794,842.0
D108,Sexual IPV,2,Poorer,3,Higher,0.0,0.0,3.0
D108,Sexual IPV,3,Middle,0,No education,0.21063491649078278,21.063491649078276,366.0
D108,Sexual IPV,3,Middle,1,Primary,0.18081168834331363,18.08116883433136,646.0
D108,Sexual IPV,3,Middle,2,Secondary,0.17664937333909342,17.664937333909343,863.0
D108,Sexual IPV,3,Middle,3,Higher,0.2609027646163857,26.090276461638567,15.0
D108,Sexual IPV,4,Richer,0,No education,0.06227597526778242,6.227597526778242,114.0
D108,Sexual IPV,4,Richer,1,Primary,0.1988239420416267,19.882394204162672,277.0
D108,Sexual IPV,4,Richer,2,Secondary,0.16544165269771555,16.544165269771554,887.0
D108,Sexual IPV,4,Richer,3,Higher,0.13582564600822217,13.582564600822217,48.0
D108,Sexual IPV,5,Richest,0,No education,0.02023105299839826,2.023105299839826,13.0
D108,Sexual IPV,5,Richest,1,Primary,0.09544397159629853,9.544397159629852,40.0
D108,Sexual IPV,5,Richest,2,Secondary,0.08774595192319656,8.774595192319657,571.0
D108,Sexual IPV,5,Richest,3,Higher,0.039804065131132466,3.9804065131132464,179.0
