woman_id,distance_km,ipv_response
1,42.962762727853395,0
2,42.962762727853395,0
3,42.962762727853395,0
4,42.962762727853395,0
5,42.962762727853395,0
6,42.962762727853395,0
7,42.962762727853395,0
8,42.962762727853395,0
9,42.962762727853395,0
10,42.962762727853395,0
11,42.962762727853395,0
12,42.962762727853395,0
13,42.962762727853395,0
14,42.962762727853395,0
15,42.962762727853395,0
16,42.962762727853395,0
17,42.962762727853395,0
18,42.962762727853395,0
19,42.962762727853395,0
20,42.962762727853395,0
21,42.962762727853395,0
22,42.962762727853395,0
23,42.962762727853395,0
24,42.962762727853395,0
25,42.962762727853395,0
26,42.962762727853395,0
27,42.962762727853395,0
28,42.962762727853395,0
29,42.962762727853395,0
30,42.962762727853395,0
31,42.962762727853395,1
32,42.962762727853395,0
33,42.962762727853395,0
34,42.962762727853395,0
35,42.962762727853395,0
36,0.947995507393471,0
37,0.947995507393471,0
38,0.947995507393471,0
39,0.947995507393471,0
40,0.947995507393471,0
41,0.947995507393471,0
42,0.947995507393471,0
43,0.947995507393471,0
44,0.947995507393471,0
45,0.947995507393471,0
46,0.947995507393471,0
47,0.947995507393471,0
48,0.947995507393471,1
49,0.947995507393471,0
50,0.947995507393471,0
51,0.947995507393471,0
52,0.947995507393471,0
53,0.947995507393471,0
54,0.947995507393471,0
55,0.947995507393471,0
56,0.947995507393471,0
57,0.947995507393471,0
58,0.947995507393471,0
59,0.947995507393471,0
60,0.947995507393471,0
61,0.947995507393471,0
62,0.947995507393471,0
63,0.947995507393471,0
64,0.947995507393471,0
65,0.947995507393471,0
66,0.947995507393471,0
67,0.947995507393471,0
68,0.947995507393471,0
69,0.947995507393471,0
70,0.947995507393471,0
71,0.947995507393471,0
72,0.947995507393471,0
73,0.947995507393471,1
74,0.947995507393471,1
75,0.947995507393471,0
76,0.947995507393471,0
77,0.947995507393471,0
78,0.947995507393471,0
79,0.947995507393471,0
80,0.947995507393471,0
81,0.947995507393471,0
82,0.947995507393471,0
83,0.947995507393471,0
84,0.947995507393471,0
85,0.947995507393471,0
86,2.1495338861390376,0
87,2.1495338861390376,0
88,2.1495338861390376,0
89,2.1495338861390376,0
90,2.1495338861390376,0
91,2.1495338861390376,1
92,2.1495338861390376,0
93,2.1495338861390376,0
94,2.1495338861390376,0
95,2.1495338861390376,0
96,2.1495338861390376,0
97,2.1495338861390376,0
98,2.1495338861390376,0
99,2.1495338861390376,0
100,2.1495338861390376,0
101,2.1495338861390376,0
102,2.1495338861390376,0
103,2.1495338861390376,0
104,2.1495338861390376,0
105,2.1495338861390376,0
106,2.1495338861390376,0
107,2.1495338861390376,0
108,2.1495338861390376,0
109,2.1495338861390376,0
110,2.1495338861390376,0
111,2.1495338861390376,1
112,2.1495338861390376,0
113,2.1495338861390376,0
114,2.1495338861390376,0
115,2.1495338861390376,0
116,2.1495338861390376,0
117,2.1495338861390376,0
118,2.1495338861390376,0
119,2.1495338861390376,0
120,2.1495338861390376,0
121,2.1495338861390376,0
122,2.1495338861390376,0
123,2.1495338861390376,0
124,2.1495338861390376,0
125,2.1495338861390376,1
126,2.1495338861390376,0
127,2.1495338861390376,0
128,2.1495338861390376,0
129,2.1495338861390376,0
130,2.1495338861390376,0
131,2.1495338861390376,0
132,2.1495338861390376,0
133,19.340296003841885,0
134,19.340296003841885,0
135,19.340296003841885,0
136,19.340296003841885,0
137,19.340296003841885,0
138,19.340296003841885,0
139,19.340296003841885,0
140,19.340296003841885,1
