bin_center_km,ci_high,ci_low,curve_mean,d111,min_conflict_dist_km,n_in_bin,row_type
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,1.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,1.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,43.011185813384984,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,1.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,1.0,0.9490590045935009,,point
,,,,0.0,0.9490590045935009,,point
,,,,1.0,0.9490590045935009,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,2.151943391195913,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,19.362217749773784,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,1.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,1.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,1.1639380101312085,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,94.01961594107429,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,1.9129151329847585,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,1.0,52.59582560170927,,point
,,,,1.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,1.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,52.59582560170927,,point
,,,,0.0,0.18057208437728473,,point
,,,,1.0,0.18057208437728473,,point
,,,,0.0,0.18057208437728473,,point
,,,,0.0,0.18057208437728473,,point
,,,,0.0,0.18057208437728473,,point
,,,,1.0,0.18057208437728473,,point
,,,,0.0,0.18057208437728473,,point
,,,,0.0,0.18057208437728473,,point
,,,,1.0,0.18057208437728473,,point
,,,,0.0,4.869903432895646,,point
,,,,1.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,4.869903432895646,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,1.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,0.538435795884092,,point
,,,,0.0,35.66917975187438,,point
,,,,1.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,1.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,35.66917975187438,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,1.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,1.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,59.574019267520725,,point
,,,,0.0,20.54281384703496,,point
