variable,variable_desc,wealth,wealth_label,education,education_label,prevalence,prevalence_pct,n_women
D111,Any IPV,1,Poorest,0,No education,0.12830188679245283,12.830188679245284,795
D111,Any IPV,1,Poorest,1,Primary,0.1787190082644628,17.87190082644628,968
D111,Any IPV,1,Poorest,2,Secondary,0.14786585365853658,14.786585365853657,656
D111,Any IPV,1,Poorest,3,Higher,0.0,0.0,1
D111,Any IPV,2,Poorer,0,No education,0.166044776119403,16.6044776119403,536
D111,Any IPV,2,Poorer,1,Primary,0.16983372921615203,16.983372921615203,842
D111,Any IPV,2,Poorer,2,Secondary,0.1342042755344418,13.420427553444181,842
D111,Any IPV,2,Poorer,3,Higher,0.0,0.0,3
D111,Any IPV,3,Middle,0,No education,0.1284153005464481,12.841530054644808,366
D111,Any IPV,3,Middle,1,Primary,0.17647058823529413,17.647058823529413,646
D111,Any IPV,3,Middle,2,Secondary,0.12514484356894554,12.514484356894554,863
D111,Any IPV,3,Middle,3,Higher,0.0,0.0,15
D111,Any IPV,4,Richer,0,No education,0.11403508771929824,11.403508771929824,114
D111,Any IPV,4,Richer,1,Primary,0.18050541516245489,18.050541516245488,277
D111,Any IPV,4,Richer,2,Secondary,0.12852311161217586,12.852311161217585,887
D111,Any IPV,4,Richer,3,Higher,0.125,12.5,48
D111,Any IPV,5,Richest,0,No education,0.07692307692307693,7.6923076923076925,13
D111,Any IPV,5,Richest,1,Primary,0.125,12.5,40
D111,Any IPV,5,Richest,2,Secondary,0.0893169877408056,8.93169877408056,571
D111,Any IPV,5,Richest,3,Higher,0.03910614525139665,3.910614525139665,179
