woman_id,distance_km,ipv_response
1,42.962762727853395,0
2,42.962762727853395,1
3,42.962762727853395,0
4,42.962762727853395,0
5,42.962762727853395,0
6,42.962762727853395,0
7,42.962762727853395,1
8,42.962762727853395,0
9,42.962762727853395,0
10,42.962762727853395,0
11,42.962762727853395,0
12,0.947995507393471,0
13,0.947995507393471,0
14,0.947995507393471,0
15,0.947995507393471,0
16,0.947995507393471,0
17,0.947995507393471,0
18,0.947995507393471,0
19,0.947995507393471,0
20,0.947995507393471,0
21,0.947995507393471,0
22,0.947995507393471,0
23,0.947995507393471,0
24,0.947995507393471,0
25,2.1495338861390376,0
26,2.1495338861390376,0
27,2.1495338861390376,0
28,2.1495338861390376,0
29,2.1495338861390376,0
30,2.1495338861390376,0
31,2.1495338861390376,0
32,2.1495338861390376,0
33,2.1495338861390376,0
34,2.1495338861390376,0
35,2.1495338861390376,0
36,2.1495338861390376,0
37,2.1495338861390376,0
38,2.1495338861390376,0
39,19.340296003841885,0
40,19.340296003841885,0
41,19.340296003841885,0
42,19.340296003841885,0
43,19.340296003841885,0
44,19.340296003841885,0
45,19.340296003841885,0
46,19.340296003841885,0
47,1.162632545122324,0
48,1.162632545122324,0
49,1.162632545122324,0
50,1.162632545122324,0
51,1.162632545122324,0
52,1.162632545122324,0
53,1.162632545122324,0
54,93.95777345487899,0
55,93.95777345487899,0
56,93.95777345487899,0
57,93.95777345487899,0
58,93.95777345487899,0
59,93.95777345487899,0
60,93.95777345487899,0
61,93.95777345487899,0
62,93.95777345487899,0
63,93.95777345487899,0
64,1.9107560935549572,0
65,1.9107560935549572,0
66,1.9107560935549572,0
67,1.9107560935549572,0
68,1.9107560935549572,0
69,1.9107560935549572,0
70,1.9107560935549572,0
71,1.9107560935549572,0
72,1.9107560935549572,0
73,1.9107560935549572,0
74,52.537811596360946,0
75,52.537811596360946,0
76,52.537811596360946,0
77,52.537811596360946,0
78,52.537811596360946,0
79,52.537811596360946,0
80,52.537811596360946,0
81,54.4989639184153,0
82,54.4989639184153,0
83,54.4989639184153,0
84,54.4989639184153,0
85,54.4989639184153,0
86,54.4989639184153,0
87,54.4989639184153,0
88,54.4989639184153,0
89,5.663096891653038,0
90,5.663096891653038,0
91,5.663096891653038,0
92,5.663096891653038,0
93,5.663096891653038,0
94,5.663096891653038,0
95,5.663096891653038,0
96,0.5378313742003593,0
97,0.5378313742003593,0
98,0.5378313742003593,0
99,0.5378313742003593,0
100,0.5378313742003593,0
101,0.5378313742003593,0
102,0.5378313742003593,0
103,0.5378313742003593,0
104,0.5378313742003593,0
105,0.5378313742003593,0
106,0.5378313742003593,0
107,35.6262327085162,0
108,35.6262327085162,0
109,35.6262327085162,0
110,35.6262327085162,0
