variable_name,description
V302A,Ever used anything or tried to delay or avoid g 2618
V304A,Type of method
V304,Knows method
V305,NA - Ever used method
V307,Method currently used
V310,NA - Living children at first use
V311,NA - Children at first use (grouped)
V312,Current contraceptive method
V313,Current use by method type
V315,Month of start of use of method
V316,Year of start of use of method
V317,Date of start of use of method (CMC)
V318,Completeness of information
V319,Years since sterilization
V320,Age at sterilization
V321,Years since first union at sterilization
V321A,Years since current union at sterilization
V322,Parity at sterilization
V323,Brand of pill used
V323A,Brand of condom used
V325A,NA - Cost of current method (in CURRENCY)
V326,Last source for current users
V327,Last source for users by type
V337,Months of use of current method
V359,Last method discontinued in last 5 years
V360,Reason of last discontinuation
V361,Pattern of use
V362,Intention to use
V363,NA - Preferred future method
V364,Contraceptive use and intention
V367,Wanted last child
V367A,Wanted last pregnancy
V372,NA - Shown pill package
V372A,NA - Shown condom package
V375A,NA - Main reason not using a method
V376,NA - Main reason not to use a method
V376A,NA - Would ever use method if married
V379,Source known for any method
V380,Source known for any method
V384A,Heard family planning on radio last few months
V384B,Heard family planning on TV last few months
V384C,Heard family planning in newspaper/magazine las 2761
V384D,Heard family planning by text messages on mobil 2762
V384E,"Seen about family planning on facebook, twitter 2763"
V384F,"Seen about family planning on poster, brochure"
V384G,"Seen about family planning on outdoor sign, bil 2765"
V384H,Heard family planning at community meetings eve 2766
V384I,Heard/seen family planning: Message that a chil 2767
V384J,NA - Heard/seen family planning CS
V384K,NA - Heard/seen family planning CS
V393,Visited by fieldworker in last 12 months
V393A,Did fieldworker talk about family planning
V394,Visited health facility last 12 months
V395,"At health facility, told of family planning"
V3A00A,NA - Source of family planning for non-users: g 2774
V3A00B,NA - Source of family planning for non-users: C 2775
V3A00C,NA - Source of family planning for non-users: C 2776
V3A00D,NA - Source of family planning for non-users: C 2777
V3A00E,NA - Source of family planning for non-users: C 2778
V3A00F,NA - Source of family planning for non-users: C 2779
V3A00G,NA - Source of family planning for non-users: C 2780
V3A00H,NA - Source of family planning for non-users: C 2781
V3A00I,NA - Source of family planning for non-users: C 2782
V3A00J,NA - Source of family planning for non-users: p 2783
V3A00K,NA - Source of family planning for non-users: p 2784
V3A00L,NA - Source of family planning for non-users: p 2785
V3A00M,NA - Source of family planning for non-users: C 2786
V3A00N,NA - Source of family planning for non-users: C 2787
V3A00O,NA - Source of family planning for non-users: C 2788
V3A00P,NA - Source of family planning for non-users: C 2789
V3A00Q,NA - Source of family planning for non-users: C 2790
V3A00R,NA - Source of family planning for non-users: C 2791
V3A00S,NA - Source of family planning for non-users: C 2792
V3A00T,NA - Source of family planning for non-users: C 2793
V3A00U,NA - Source of family planning for non-users: C 2794
V3A00V,NA - Source of family planning for non-users: C 2795
V3A00W,NA - Source of family planning for non-users: C 2796
V3A00X,NA - Source of family planning for non-users: o 2797
V3A00Y,Source of family planning for non-users: no sou 2798
V3A00Z,Source of family planning for non-users: any so 2799
V3A01,NA - Told sterilization would mean no more chil 2800
V3A02,Told about side effects
V3A03,NA - Told about side effects by health or famil 2802
V3A04,Told how to deal with side effects
V3A05,Told about other family planning methods
V3A06,NA - Told about other family planning methods b 2805
V3A07,First source for current method
V3A08A,Reason not using: not married
V3A08B,Reason not using: not having sex
V3A08C,Reason not using: infrequent sex
V3A08D,Reason not using: menopausal/hysterectomy
