variable_name,description
H67,NA - Received Pentavalent 4
H67D,NA - Pentavalent 4 day
H67M,NA - Pentavalent 4 month
H67Y,NA - Pentavalent 4 year
H68,NA - Hepatitis B at birth received within 24 of 6469
H69,Place where most vaccinations were received
HIDXA,Index to birth history
H11,Had diarrhea recently
H11B,NA - Blood in the stools
H12A,Diarrhea: Public hospital/University clinic
H12B,Diarrhea: Provincial Hospital
H12C,Diarrhea: General Reference hospital
H12D,Diarrhea: Hospital Centre/Reference Heath Centr 6523
H12E,Diarrhea: Health Centre
H12F,Diarrhea: Health Post/Dispensary
H12G,Diarrhea: Health Community agent/Field agent
H12H,Diarrhea: Public sector: Other
H12I,NA - Diarrhea: CS public sector
H12J,Diarrhea: private hospital/clinic
H12K,Diarrhea: private pharmacy
H12L,Diarrhea: Private Clinic/Polyclinic
H12M,Diarrhea: Private Health Centre
H12N,Diarrhea: Private Doctor/Medical Practice
H12O,Diarrhea: Private Maternity
H12P,Diarrhea: Private Mobile Clinic
H12Q,Diarrhea: Private Travelling Nurse
H12R,Diarrhea: Other private facility
H12NA,Diarrhea: NGO hospital
H12NB,Diarrhea: NGO Clinic
H12NC,NA - Diarrhea: CS NGO
H12ND,Diarrhea: NGO Other medical sector
H12NE,NA - Diarrhea: CS NGO
H12S,Diarrhea: Other sector/Shop
H12T,Diarrhea: Traditional practitioner
H12U,Diarrhea: Market
H12V,Diarrhea: Traveling medicine seller
H12W,NA - Diarrhea: CS other sector
H12X,Diarrhea: Other
H12Y,Diarrhea: no treatment
H12Z,Diarrhea: medical treatment
H13,Given oral rehydration
H13B,NA - Given pre-packaged ORS liquid
H14,Given recommended home solution
H15,Given antibiotic pills or syrups
H15A,Given antimotility
H15B,Given antibiotic injection
H15C,Given intravenous (IV)
H15D,"Given home remedy, herbal medicine"
H15E,Given zinc
H15F,"Given other (not antibiotic, antimotility, zinc 6745"
H15G,Given unknown pill or syrup
H15H,Given non-antibiotic injection
H15I,Given unknown injection
H15J,NA - Given CS
H15K,NA - Given CS
H15L,NA - Given CS
H15M,NA - Given CS
H20,Given other treatment
H21A,Given no treatment
H21,Received any treatment
H22,Had fever in last two weeks
H31,Had cough in last two weeks
H31B,"Short, rapid breaths"
H31C,Problem in the chest or blocked or running nose 6829
H31D,NA - Had fever/cough in last 2 weeks: amount of 6835
H31E,NA - Had fever/cough in last 2 weeks: amount of 6841
H32A,Fever/cough: National hospital/University clini 6847
H32B,Fever/cough: Provincial Hospital
H32C,Fever/cough: General Reference hospital
H32D,Hospital Centre/Reference Heath Centre
H32E,Fever/cough: Health Centre
H32F,Fever/cough: Health Post/Dispensary
H32G,Fever/cough: Health Community agent/Field agent 6883
H32H,Fever/cough: Public sector: Other
H32I,NA - Fever/cough: CS public sector
H32J,Fever/cough: private hospital/ clinic
H32K,Fever/cough: private pharmacy
H32L,Fever/cough:  Private Clinic/Polyclinic
H32M,Fever/cough: Private Health Centre
H32N,Fever/cough: Private Doctor/Medical Practice
H32O,Fever/cough: Private Maternity
H32P,Fever/cough: Private Mobile clinic
H32Q,Fever/cough: Private travelling nurse
H32R,Fever/cough: Private medical: Other
H32NA,Fever/cough: NGO hospital
H32NB,Fever/cough: NGO: Clinic
H32NC,Fever/cough: NGO: Other sector
H32ND,NA - Fever/cough: CS NGO
H32NE,NA - Fever/cough: CS NGO
H32S,Fever/cough: Other sector: Shop
H32T,Fever/cough: Other sector: Traditional practiti 6991
H32U,Fever/cough: Other sector: Market
H32V,Fever/cough: Other sector: Traveling medicine s 7003
H32W,NA - Fever/cough: CS other sector
H32X,Fever/cough: other
H32Y,Fever/cough: no treatment
H32Z,Fever/cough: medical treatment
H34,Vitamin A in last 6 months
H37A,SP/Fansidar taken for fever
H37B,Chloroquine taken for fever
H37C,Amodiaquine taken for fever
H37D,Quinine taken for fever
H37DA,Quinine injection/IV taken for fever
H37E,Combination with artemisinin taken for fever
H37AA,Artesunate rectal taken for fever
H37AB,Artesunate injection/IV taken for fever
H37F,NA - CS antimalarial taken for fever
H37G,NA - CS antimalarial taken for fever
H37H,Other antimalarial taken for fever
H37I,Antibiotic pill/syrup taken for fever
H37J,Antibiotic injection taken for fever
H37K,Aspirin taken for fever
H37L,Acetaminophen/paracetamol/panadol taken for fev 7123
H37M,Ibuprofen taken for fever
H37N,Amoxicillin taken for fever
H37O,Cotrimoxazole taken for fever/cough
H37P,NA - CS other for fever/cough
H37Q,NA - CS other for fever/cough
H37R,NA - CS other for fever/cough
H37X,Other taken for fever
H37Y,Nothing taken and didn't seek treatment for fev 7171
H37Z,Don't know if or what was taken for fever
H38,Diarrhea in last 2 weeks: amount offered to dri 7183
H39,Diarrhea in last 2 weeks: amount offered to eat 7189
H42,"Last 12 months given iron pills, sprinkles or s 7195"
H43,Drugs for intestinal parasites in last 6 months 7201
H44A,Place first sought treatment for diarrhea
H46A,Place first sought treatment for fever
H46B,Number of days after fever began sought advice
H47,Blood taken from child's finger/heel for testin 7243
H70A,Past 3 months health care provider measured chi 7249
H70B,Past 3 months health care provider measured chi 7255
H70C,Past 3 months health care provider measured chi 7261
H71,Was respondent told that child had malaria
H80A,Last 12 months given: LOCAL NAME for multiple m 7273
H80B,NA - Last 12 months given: LOCAL NAME ready to
H80C,NA - Last 12 months given: LOCAL NAME for ready 7285
H80D,NA - Last 12 months given: CS
H80E,NA - Last 12 months given: CS
H80F,NA - Last 12 months given: CS
H80G,NA - Last 12 months given: CS
ML20A,Timing of start of combination with artemisinin 7315
HWIDX,Index to Birth History
HW1,Child's age in months
HW2,Child's weight in kilograms (1 decimal)
HW3,Child's height in centimeters (1 decimal)
HW13,Result of measurement - height/weight
HW15,Height: lying or standing
HW16,Day of birth of child
HW17,Date measured (day)
HW18,Date measured (month)
HW19,Date measured (year)
HW51,Line number of parent/caretaker
HW52,Read consent statement - hemoglobin
HW53,Hemoglobin level (g/dl - 1 decimal)
HW55,Result of measurement - hemoglobin
HW56,Hemoglobin level adjusted for altitude (g/dl -
HW56A,Hemoglobin level adjusted for altitude (g/dl -
HW57,Anemia level
HW57A,Anemia level (new WHO)
HW58,NA - Agrees to referral - anemia
HW70,Height/Age standard deviation (new WHO)
HW71,Weight/Age standard deviation (new WHO)
HW72,Weight/Height standard deviation (new WHO)
HW73,BMI standard deviation (new WHO)
V401,Last birth a caesarean section
V404,Currently breastfeeding
V405,Currently amenorrheic
V406,Currently abstaining
V407,NA - Number of times breastfed during night
V408,NA - Number of times breastfed during day
V415,Drank from bottle with nipple yesterday/last ni 7671
V416,NA - Heard of oral rehydration
V417,Entries in pregnancy and postnatal care roster
V418,Entries in immunization roster
V418A,Entries in child health roster
V419,Entries in height/weight roster
V420,Measurer's code
V421,Assistant measurer's code
V426,When child put to breast
V437,Respondent's weight in kilograms (1 decimal)
V438,Respondent's height in centimeters (1 decimal)
V445,Body Mass Index
V447,Result of measurement - height/weight
V446A,Height/Age standard deviation (new WHO) (women
V446D,BMI/Age standard deviation (new WHO) (women age 7707
V447A,Women's age in years (from household questionna 7711
V452A,Under age 18 (from household questionnaire)
V452B,Line number of parent/caretaker
V452C,Read consent statement - hemoglobin
V453,Hemoglobin level (g/dl - 1 decimal)
V454,Currently pregnant (from household questionnair 7720
V455,Result of measurement - hemoglobin
V456,Hemoglobin level adjusted for altitude and smok 7722
V456A,Hemoglobin level adjusted for altitude and smok 7725
V457,Anemia level
V457A,Anemia level (new WHO)
V458,NA - Agrees to referral - anemia
V459,Have mosquito bed net for sleeping (from househ 7731
V460,Children under 5 slept under mosquito bed net l 7732
V461,NA - Respondent slept under mosquito bed net
V462,NA - Washed hands before preparing last meal
V463A,Smokes cigarettes
V463B,Smokes pipe full of tobacco
V463C,Chews tobacco
V463D,Snuffs by nose
V463E,Smokes kreteks
V463F,"Smokes cigars, cheroots or cigarillos"
V463G,Smokes water pipe
V463H,Snuff by mouth
V463I,Chews betel quid with tobacco
V463J,NA - Smokes/uses country specific
V463K,NA - Smokes/uses country specific
V463L,NA - Smokes/uses country specific
V463X,Smokes/uses other
V463Z,Does not use cigarettes and tobacco
V463AA,Frequency smokes cigarettes
V463AB,Frequency currently uses other type of tobacco
V464,Number of cigarettes in last 24 hours
V466,"NA - When child is seriously ill, can decide wh 7753"
V467A,NA - Getting medical help for self: know where
V467B,Getting medical help for self: getting permissi 7755
V467C,Getting medical help for self: getting money ne 7756
V467D,Getting medical help for self: distance to heal 7757
V467E,NA - Getting medical help for self: having to t 7758
V467F,Getting medical help for self: not wanting to g 7759
V467G,NA - Getting medical help for self: concern no
V467H,NA - Getting medical help for self: concern no
V467I,NA - Getting medical help for self: concern no
V467J,NA - Getting medical help for self: CS
V467K,NA - Getting medical help for self: CS
V467L,NA - Getting medical help for self: CS
V467M,NA - Getting medical help for self: CS
V468,Record for Last Birth
V471A,"NA - Woman had tinned, powdered or fresh milk"
V471B,NA - Woman had tea or coffee
V471C,Woman had any other liquid
V471CS,Woman other liquid - sweetened
V471D,Woman had sodas/malt/sports/energy drinks
V471E,"Woman had fruit juice, fruit-flavored drinks"
V471F,NA - Woman had CS liquid
V471G,NA - Woman had CS liquid
V471H,NA - Woman had CS liquid
V471I,NA - Woman had CS liquid
V472A,Woman had other vegetables
V472B,"Woman had sausages, hot dogs, frankfurters, ham 7779"
V472C,"Woman had nuts, seeds"
V472D,Woman had any insects
V472E,"Woman had porridge, bread, rice, noodles, pasta 7782"
V472F,"Woman had plantains, white potatoes, yams, mani 7783"
V472G,Woman had eggs
V472H,"Woman had any other meat (beef, pork, lamb, chi 7785"
V472I,"Woman had pumpkin, carrots, squash, sweet potat 7786"
V472J,Woman had any dark green leafy vegetables
V472K,"Woman had mangoes, papayas, other vitamin A fru 7788"
V472L,Woman had any other fruits
V472M,"Woman had liver, heart, other organs"
V472N,Woman had fish or shellfish
V472O,"Woman had food made from beans, peas, lentils"
V472P,"Woman had cheese, yogurt, other milk products"
V472Q,"NA - Woman had oil, fats, butter, products made 7794"
V472R,"Woman had sweet foods, chocolates, candies, pas 7795"
V472S,Woman had any other food
V472T,"Woman had chips, crisps, french fries, fried do 7797"
V472U,Woman had red palm oil
V472V,"Woman had sweetened tea, coffee or herbal drink 7799"
V472W,NA - Woman had [COMMON SENTINEL SWEET FOOD]
V472WA,NA - Woman had CS foods
V472WB,NA - Woman had CS foods
V472WC,NA - Woman had CS foods
V472WD,NA - Woman had CS foods
V472WE,NA - Woman had CS foods
V473A,Read consent statement - HIV
V473B,Result of measurement - HIV
V477,NA - Number of injections in last 12 months
V478,NA - Number of injections administered by a hea 7810
V479,NA - Place of injection by health worker
V480,"NA - Syringe and needle from new, unopened pack 7814"
V481,Covered by health insurance
V481A,Health insurance type: mutual/community organiz 7816
V481B,Health insurance type: provided by employer
V481C,Health insurance type: social security
V481D,Health insurance type: private/commercially pur 7819
V481E,NA - Health insurance type: CS
V481F,NA - Health insurance type: CS
V481G,NA - Health insurance type: CS
V481H,NA - Health insurance type: CS
V481X,Health insurance type: other
V482A,NA - Arrange care of biological children under
V482B,NA - Primary caregiver of children under age 18 7826
V482C,NA - Arrange care of non-biological children <
V483A,Minutes to nearest healthcare facility
V483B,Mode of transportation to nearest healthcare fa 7831
V484A,Breasts examined for cancer by health care prov 7833
V484B,Ever tested for cervical cancer by health care
V485A,Number of days respondent drank alcoholic drink 7835
V485B,Number of alcoholic drinks per day
V501,Current marital status
V502,Currently/formerly/never in union
V503,Number of unions
V504,Currently residing with husband/partner
V505,Number of other wives
V506,Respondent's rank among wives
V507,Month of first cohabitation
V508,Year of first cohabitation
V509,Date of first cohabitation (CMC)
V510,Completeness of date information in V509
V511,Age at first cohabitation
V507A,Month of current cohabitation
V508A,Year of current cohabitation
V509A,Date of current cohabitation (CMC)
V510A,Completeness of date information in V509A
V511A,Age at current cohabitation
V512,Years since first cohabitation
V513,Cohabitation duration (grouped)
V525,Age at first sex
V527,Time since last sex
V528,Time since last sex (in days)
V529,Time since last sex (in months)
V530,Flag for V529
V531,Age at first sex (imputed)
V532,Flag for V531
V535,Ever been married or in union
V536,Recent sexual activity
V537,Months of abstinence
V538,NA - How previous marriage or union ended
V539,NA - Person who received most of late husband's 7895
V540,NA - Respondent received any of late husband's
V541,NA - Intends to wait until marriage to have sex 7897
V542,Has a marriage certificate for current marriage 7898
V543A,"Marriage certificate from church, mosque or oth 7899"
V543B,Marriage certificate from civil authority
V543C,Other document from religious institution
V543D,Other document from civil authority
V543E,NA - Marriage document: CS
V543F,NA - Marriage document: CS
V543G,NA - Marriage document: CS
V543X,Other marriage document
V544,Current marriage ever registered with civil aut 7907
V602,Fertility preference
V603,Preferred waiting time for birth of a/another c 7909
V604,Preferred waiting time for birth of a/another c 7912
V605,Desire for more children
V613,Ideal number of children
V614,Ideal number of children (grouped)
V616,Time for future birth
V621,Husband's desire for children
V623,Exposure
V624,Unmet need
V625,Exposure (definition 2)
V626,Unmet need (definition 2)
V625A,Exposure to need for contraception (definition
V626A,Unmet need for contraception (definition 3)
V627,Ideal number of boys
V628,Ideal number of girls
V629,Ideal number of either sex
V631,NA - Problem if became pregnant
V632,Decision maker for using contraception
V632A,NA - Decision maker for not using contraception 7938
V633A,NA - Reason for not having sex: husband has STI 7939
V633B,Reason for not having sex: husband has other wo 7940
V633C,NA - Reason for not having sex: recent birth
V633D,"NA - Reason for not having sex: tired, not in m 7942"
V633E,NA - Reason for not having sex: CS
V633F,NA - Reason for not having sex: CS
V633G,NA - Reason for not having sex: CS
V634,NA - Husband knows that respondent is using con 7946
V635,Respondent opinion compared to husband's on use 7947
V636,Husband or family member pressured respondent t 7948
V701,Husband/partner's education level
V702,Husband/partner's highest year of education (at 7950
V704,Husband/partner's occupation
V704A,Husband/partner worked in last 7 days/12 months 7957
V705,Husband/partner's occupation (grouped)
V714,Respondent currently working
V714A,"Respondent has a job, but currently absent"
V715,Husband/partner's total number of years of educ 7962
V716,Respondent's occupation
V717,Respondent's occupation (grouped)
V719,"Respondent works for family, others, self"
V721,NA - Respondent works at home or away
V729,Husband/partner's educational attainment
V730,Husband/partner's age
V731,Respondent worked in last 12 months
V732,Respondent employed all year/seasonal
V739,Person who usually decides how to spend respond 7978
V740,NA - Type of land where respondent works
V741,Type of earnings from respondent's work
V743A,Person who usually decides on: respondent's hea 7981
V743B,Person who usually decides on: large household
V743C,NA - Person who usually decides on: household p 7983
V743D,Person who usually decides on: visits to family 7984
V743E,NA - Person who usually decides on: food to be
V743F,Person who usually decides on: what to do with
V744A,Beating justified if wife goes out without tell 7987
V744B,Beating justified if wife neglects the children 7988
V744C,Beating justified if wife argues with husband
V744D,Beating justified if wife refuses to have sex w 7990
V744E,Beating justified if wife burns the food
V745A,Owns a house alone or jointly
V745B,Owns land alone or jointly
V745C,Title deed on house own by respondent
V745D,Title deed on land own by respondent
V746,Respondent earns more than husband/partner
V750,Ever heard of a Sexually Transmitted Infection
V751,Ever heard of AIDS
V754BP,NA - Reduce risk of getting HIV: do not have se 7999
V754CP,Reduce risk of getting HIV: always use condoms
V754DP,Reduce risk of getting HIV: have 1 sex partner
V754JP,Can get HIV from mosquito bites
V754WP,Can get HIV by sharing food with person who has 8003
V756,A healthy looking person can have HIV
V761,Condom used during last sex with most recent pa 8005
V761B,Condom used during last sex with 2nd to most re 8006
V761C,Condom used during last sex with 3rd to most re 8007
V762,Source of condoms used for last sex
V762A,Brand of condom used for last sex
V763A,Had any STI in last 12 months
V763B,Had genital sore/ulcer in last 12 months
V763C,Had genital discharge in last 12 months
V763D,NA - Had CS STI in last 12 months
V763E,NA - Had CS STI in last 12 months
V763F,NA - Had CS STI in last 12 months
V763G,NA - Had CS STI in last 12 months
V766A,"Number of sex partners, excluding spouse, in la 8019"
V766B,"Number of sex partners, including spouse, in la 8021"
V767A,Relationship with most recent sex partner
V767B,Relationship with 2nd to most recent sex partne 8025
V767C,Relationship with 3rd to most recent sex partne 8027
V768A,NA - Length of time knows last partner
V768B,NA - Length of time knows other partner (1)
V768C,NA - Length of time knows other partner (2)
V770,NA - Sought advice/treatment for last STI infec 8038
V770A,NA - Sought STI advice/treatment from: governme 8039
V770B,NA - Sought STI advice/treatment from: CS publi 8040
V770C,NA - Sought STI advice/treatment from: CS publi 8041
V770D,NA - Sought STI advice/treatment from: CS publi 8042
V770E,NA - Sought STI advice/treatment from: CS publi 8043
V770F,NA - Sought STI advice/treatment from: CS publi 8044
V770G,NA - Sought STI advice/treatment from: CS publi 8045
V770H,NA - Sought STI advice/treatment from: CS publi 8046
V770I,NA - Sought STI advice/treatment from: CS publi 8047
V770J,NA - Sought STI advice/treatment from: CS publi 8048
V770K,NA - Sought STI advice/treatment from: private
V770L,NA - Sought STI advice/treatment from: CS priva 8050
V770M,NA - Sought STI advice/treatment from: CS priva 8051
V770N,NA - Sought STI advice/treatment from: CS priva 8052
V770O,NA - Sought STI advice/treatment from: CS priva 8053
V770P,NA - Sought STI advice/treatment from: CS priva 8054
V770Q,NA - Sought STI advice/treatment from: CS priva 8055
V770R,NA - Sought STI advice/treatment from: CS priva 8056
V770S,NA - Sought STI advice/treatment from: CS priva 8057
V770T,NA - Sought STI advice/treatment from: CS other 8058
V770U,NA - Sought STI advice/treatment from: CS other 8059
V770V,NA - Sought STI advice/treatment from: CS other 8060
V770W,NA - Sought STI advice/treatment from: CS other 8061
V770X,NA - Sought STI advice/treatment from: other
V774A,NA - HIV transmitted during pregnancy
V774B,NA - HIV transmitted during delivery
V774C,NA - HIV transmitted by breastfeeding
V775,"NA - Knows someone who has, or is suspected of"
V777,NA - Would want HIV infection in family to rema 8067
V777A,NA - Would be ashamed if someone in the family
V778,NA - Willing to care for relative with AIDS
V779,"NA - A female teacher infected with HIV, but is 8070"
V780,NA - Children should be taught about condoms to 8071
V781,Ever been tested for HIV
V783,NA - Know a place to get HIV test
V784A,NA - Place for HIV test: government hospital
V784B,NA - Place for HIV test: CS public
V784C,NA - Place for HIV test: CS public
V784D,NA - Place for HIV test: CS public
V784E,NA - Place for HIV test: CS public
V784F,NA - Place for HIV test: CS public
V784G,NA - Place for HIV test: CS public
V784H,NA - Place for HIV test: CS public
V784I,NA - Place for HIV test: CS public
V784J,NA - Place for HIV test: CS public
V784K,NA - Place for HIV test: private hospital/clini 8084
V784L,NA - Place for HIV test: CS private
V784M,NA - Place for HIV test: CS private
V784N,NA - Place for HIV test: CS private
V784O,NA - Place for HIV test: CS private
V784P,NA - Place for HIV test: CS private
V784Q,NA - Place for HIV test: CS private
V784R,NA - Place for HIV test: CS private
V784S,NA - Place for HIV test: CS private
V784T,NA - Place for HIV test: CS other
V784U,NA - Place for HIV test: CS other
V784V,NA - Place for HIV test: CS other
V784X,NA - Place for HIV test: other
V785,Heard about other STIs
V791A,NA - Last 12 months had sex in return for gifts 8098
V792,Used a method at last sexual intercourse
V792A,Method used last sexual intercourse: female ste 8100
V792B,Method used last sexual intercourse: male steri 8101
V792C,Method used last sexual intercourse: IUD
V792D,Method used last sexual intercourse: injectable 8103
V792E,Method used last sexual intercourse: implants
V792F,Method used last sexual intercourse: pill
V792G,Method used last sexual intercourse: condom
V792H,Method used last sexual intercourse: female con 8107
V792I,Method used last sexual intercourse: emergency
V792J,Method used last sexual intercourse: standard d 8109
V792K,Method used last sexual intercourse: lactationa 8110
V792L,Method used last sexual intercourse: rhythm
V792M,Method used last sexual intercourse: withdrawal 8112
V792N,NA - Method used last sexual intercourse: CS
V792O,NA - Method used last sexual intercourse: CS
V792P,NA - Method used last sexual intercourse: CS
V792X,Method used last sexual intercourse: other mode 8116
V792Y,Method used last sexual intercourse: other trad 8117
V820,NA - Condom used at first sex
V821A,"NA - Most recent sex partner younger, the same"
V821B,"NA - 2nd to most recent sex partner younger, th 8120"
V821C,"NA - 3rd to most recent sex partner younger, th 8121"
V822,Wife justified asking husband to use condom if
V823,NA - Can get HIV by witchcraft or supernatural
V824,Drugs to avoid HIV transmission to baby during
V825,Would buy vegetables from vendor with HIV
V826,NA - Last time tested for HIV
V826A,Months ago most recent HIV test
V827,"NA - Last HIV test: on your own, offered or req 8129"
V828,Received result from last HIV test
V829,Place where last HIV test was taken
V830,NA - Age of first sex partner
V831,"NA - First sex partner younger, same age or old 8135"
V832B,NA - Time since last sex with 2nd to most recen 8136
V832C,NA - Time since last sex with 3rd to most recen 8139
V833A,NA - Used condom every time had sex with most r 8142
V833B,NA - Used condom every time had sex with 2nd to 8143
V833C,NA - Used condom every time had sex with 3rd to 8144
V834A,NA - Age of most recent partner
V834B,NA - Age of 2nd to most recent partner
V834C,NA - Age of 3rd to most recent partner
V835A,NA - Alcohol consumption at last sex with most
V835B,NA - Alcohol consumption at last sex with 2nd t 8152
V835C,NA - Alcohol consumption at last sex with 3rd t 8153
V836,Total lifetime number of sex partners
V837,Heard of ARVs to treat HIV
V838A,NA - During antenatal visit talked about: HIV t 8157
V838B,NA - During antenatal visit talked about: thing 8158
V838C,NA - During antenatal visit talked about: getti 8159
V839,NA - Offered HIV test as part of antenatal visi 8160
V839A,NA - Offered HIV test between the time went for 8161
V840,Tested for HIV as part of antenatal visit
V840A,Tested for HIV between the time went for delive 8163
V841,Got results of HIV test as part of antenatal vi 8164
V841A,Got results of HIV test when tested before baby 8165
V842,Place where HIV test was taken as part of anten 8166
V843,Tested for HIV since antenatal visit test
V850A,Respondent can refuse sex
V850B,Respondent can ask partner to use a condom
V852A,NA - How long ago first had sex with most recen 8171
V852B,NA - How long ago first had sex with 2nd most r 8174
V852C,NA - How long ago first had sex with 3rd most r 8177
V853A,NA - Times in last 12 months had sex with most
V853B,NA - Times in last 12 months had sex with 2nd m 8182
V853C,NA - Times in last 12 months had sex with 3rd m 8184
V855,NA - Received counseling after tested for AIDS
V856,Knowledge and use of HIV test kits
V857A,Children with HIV should be allowed to attend s 8188
V857B,NA - People hesitate to take HIV test because r 8189
V857C,NA - People talk badly about people with or bel 8190
V857D,NA - People with or believed to have HIV lose r 8191
V858,NA - Would be afraid to get HIV from contact wi 8192
V859,Knowledge and attitude to PrEP to prevent getti 8193
V860M,Month of most recent HIV test
V860Y,Year of most recent HIV test
V860C,Date of most recent HIV test (CMC)
V861,Result of HIV test
V862M,Month received first HIV test positive
V862Y,Year received first HIV test positive
V862C,Date received first HIV test positive (CMC)
V863,Currently taking ARVs
V864,Number of HIV tests
V865,Disclosed HIV status to others
V866,Respondent feels ashamed of HIV status
V867A,Things happened because HIV positive status: pe 8220
V867B,Things happened because HIV positive status: so 8221
V867C,Things happened because HIV positive status: ve 8222
V867D,Things happened because HIV positive status: he 8223
V867E,Things happened because HIV positive status: he 8224
V867F,NA - Things happened because HIV positive statu 8225
V867G,NA - Things happened because HIV positive statu 8226
V801,Time interview started (hhmm - 24 hour clock)
V802,Time interview ended (hhmm - 24 hour clock)
V803,Length of interview in minutes
V804,Number of visits
V805,Interviewer identification
V806,NA - Keyer identification
V811,Presence of children < 10 for 'Wife beating jus 8245
V812,Presence of husband for 'Wife beating justified 8246
V813,Presence of other males for 'Wife beating justi 8247
V814,Presence of other females for 'Wife beating jus 8248
V815A,Presence of children < 10 during sexual activit 8249
V815B,Presence of male adults during sexual activity
V815C,Presence of female adults during sexual activit 8251
MMIDX,Index to Maternal Mortality
MM1,Sex of sibling
MM2,Survival status of sibling
MM3,Sibling's current age
MM4,Sibling's date of birth (CMC)
MM5,NA - Sibling's marital status
MM6,Years since sibling died
MM7,Sibling's age at death
MM8,Date of death of sibling (CMC)
MM9,Sibling's death and pregnancy
MM10,NA - Death and a pregnancy are related
MM11,NA - Cause of death sibling
MM12,Amount of time between sibling's delivery and d 8894
MM13,NA - Place of sibling's death
MM14,NA - Number of sibling's children
MM15,NA - Sibling's year of death
MM16,Sibling's death due to violence or accident
MMC1,Number of siblings of respondent
MMC2,Number of siblings born before respondent's bir 9136
MMC3,NA - Sister's reporting
MMC4,NA - Sister's line number from Household Schedu 9140
MMC5,Cut off age for Maternal Mortality collection ( 9152
D005,Weight for Domestic Violence (6 decimals)
D100,Ever had an intimate relationship with a man
D101A,Husband/partner jealous if respondent talks wit 9163
D101B,Husband/partner accuses respondent of unfaithfu 9164
D101C,Husband/partner does not permit respondent to m 9165
D101D,Husband/partner tries to limit respondent's con 9166
D101E,Husband/partner insists on knowing where respon 9167
D101F,NA - Husband/partner doesn't trust respondent w 9168
D101G,NA - CS control issue
D101H,NA - CS control issue
D101I,NA - CS control issue
D101J,NA - CS control issue
D102,Number of control issues answered 'Yes'  (D101x 9173
D103A,Ever been humiliated by husband/partner
D103B,Ever been threatened with harm by husband/partn 9176
D103C,Ever been insulted or made to feel bad by husba 9177
D103D,NA - Ever CS emotional abuse by husband/partner 9178
D103E,NA - Ever CS emotional abuse by husband/partner 9179
D103F,NA - Ever CS emotional abuse by husband/partner 9180
D104,Experienced any emotional violence (D103x serie 9181
D105A,"Ever been pushed, shook or had something thrown 9182"
D105B,Ever been slapped by husband/partner
D105C,Ever been punched with fist or hit by something 9184
D105D,Ever been kicked or dragged by husband/partner
D105E,Ever been strangled or burnt by husband/partner 9186
D105F,Ever been attacked with knife/gun or other weap 9187
D105G,NA - Ever CS physical violence by husband/partn 9188
D105H,Ever been physically forced into unwanted sex b 9189
D105I,Ever been forced into other unwanted sexual act 9190
D105J,Ever had arm twisted or hair pulled by husband/ 9191
D105K,Ever been physically forced to perform sexual a 9192
D105L,NA - Ever CS physical violence by husband/partn 9193
D105M,NA - Ever CS physical violence by husband/partn 9194
D105N,NA - Ever CS physical violence by husband/partn 9195
D106,"Experienced any less severe violence (D105A-C,J 9196"
D107,Experienced any severe violence (D105D-F) by hu 9197
D108,"Experienced any sexual violence (D105H-I,K) by"
D109,NA - Timing of first event (from D105 series) i 9199
D109A,Age when first forced to have sexual acts by hu 9201
D110A,Ever had bruises because of husband/partner's a 9203
D110B,"Ever had eye injuries, sprains, dislocations or 9204"
D110C,NA - Ever went to health facility because of hu 9205
D110D,"Ever had wounds, broken bones, broken teeth or"
D110E,NA - CS because of husband/partner's actions
D110F,NA - CS because of husband/partner's actions
D110G,NA - CS because of husband/partner's actions
D110H,NA - CS because of husband/partner's actions
D111,Experienced any of listed husband/partner's act 9211
D112,Respondent ever physically hurt husband/partner 9212
D112A,Frequency of physically hurting husband/partner 9213
D113,Husband/partner drinks alcohol
D114,Frequency of husband/partner being drunk
D115B,Mother: Person who has ever physically hurt res 9216
D115C,Father: Person who has ever physically hurt res 9217
D115D,Daughter/Son: Person who has ever physically hu 9218
D115E,NA - Son: Person who has ever physically hurt r 9219
D115F,Sister/brother: Person who has ever physically
D115G,Other relative: Person who has ever physically
D115H,NA - Other female family: Person who has ever p 9222
D115I,NA - Other male family: Person who has ever phy 9223
D115J,NA - Former partner: Person who has ever physic 9224
D115K,Current boyfriend: Person who has ever physical 9225
D115L,Former boyfriend: Person who has ever physicall 9226
D115M,NA - Step-mother: Person who has ever physicall 9227
D115N,NA - Step-father: Person who has ever physicall 9228
D115O,Mother-in-law: Person who has ever physically h 9229
D115P,Father-in-law: Person who has ever physically h 9230
D115Q,Other in-law: Person who has ever physically hu 9231
D115R,NA - Other male in-law: Person who has ever phy 9232
D115S,NA - Female friend: Person who has ever physica 9233
D115T,NA - Male friend: Person who has ever physicall 9234
D115U,NA - Neighbor: Person who has ever physically h 9235
D115V,Teacher: Person who has ever physically hurt re 9236
D115W,Employer: Person who has ever physically hurt r 9237
D115X,Other: Person who has ever physically hurt resp 9238
D115Y,No person other than husband/partner ever physi 9239
D115XA,NA - Stranger: Person who has ever physically h 9240
D115XB,NA - Other female in-law/family: Person who has 9241
D115XC,NA - Other male in-law/family: Person who has e 9242
D115XD,Schoolmate/classmate: Person who has ever physi 9243
D115XE,Police: Person who has ever physically hurt res 9244
D115XF,NA - Religious leader: Person who has ever phys 9245
D115XG,NA - Lawyer: Person who has ever physically hur 9246
